id,objectid,highstreet,highstre_1,area_ha,gdb_geomat,Col_ID,Row_ID,Hex_ID,Centroid_X,Centroid_Y,area
105,104,104,"St John’s Road, Uxbridge.",5.67810940194485,,1066,1254,10661254,504780.6352,183150.7975,106088.115
105,104,104,"St John’s Road, Uxbridge.",5.67810940194485,,1066,1256,10661256,504780.6352,183500.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1067,1259,10671259,505083.7441,184025.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1067,1261,10671261,505083.7441,184375.7975,106088.115
468,459,459,"High Street, Harefield, Uxbridge",7.94559636093177,,1067,1295,10671295,505083.7441,190325.7975,106088.115
468,459,459,"High Street, Harefield, Uxbridge",7.94559636093177,,1067,1297,10671297,505083.7441,190675.7975,106088.115
356,349,349,"High Road, Cowley Peachey",0.411033351670673,,1068,1248,10681248,505386.853,182100.7975,106088.115
357,350,350,"High Street & Station Road, Cowley",0.42746055090616,,1068,1250,10681250,505386.853,182450.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1068,1258,10681258,505386.853,183850.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1068,1260,10681260,505386.853,184200.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1068,1262,10681262,505386.853,184550.7975,106088.115
468,459,459,"High Street, Harefield, Uxbridge",7.94559636093177,,1068,1296,10681296,505386.853,190500.7975,106088.115
468,459,459,"High Street, Harefield, Uxbridge",7.94559636093177,,1068,1298,10681298,505386.853,190850.7975,106088.115
536,519,519,"High Street, West Drayton.",35.6577396785513,,1069,1237,10691237,505689.9619,180175.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1069,1257,10691257,505689.9619,183675.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1069,1259,10691259,505689.9619,184025.7975,106088.115
537,520,520,"High Street and Oxford Road, Uxbridge",63.7368094001334,,1069,1261,10691261,505689.9619,184375.7975,106088.115
