id,objectid,highstreet,highstre_1,area_ha,gdb_geomat,test_IMD_decile,test_IMD_rank,test_income_decile,test_income_rank,test_employment_decile,test_employment_rank,test_education_decile,test_health_decile,test_crime_decile,test_environment_decile
3,3,3,"Carshalton Road, Carshalton.",4.46221045732243,,8.04677249907836,24646.4162728424,7.20896631110171,21913.2176062094,7.68236444977372,23592.268325286,8.5202528348579,8.28265702076728,6.36828182533319,5.15010326835087
4,4,4,"Mitcham Road, Croydon.",6.93603932993394,,3.13858127474816,8464.67869789885,3.145999614818,8262.36738784528,4.0441291265954,11693.16408191,4.37686911415654,5.07867414759675,2.64104045138995,2.88146781772713
5,5,5,"Bridge Road, Chessington.",4.90716859866954,,7.6446677992675,23650.019265129,7.18502939299921,21536.3442293837,7.47935262827748,23518.2079900098,5.80914486159931,8.51766434208962,6.62502140574188,5.36328284690473
6,6,6,"Brighton Road, Purley Oaks.",11.9412177716037,,5.9025757346138,18723.4558318924,6.63088243511709,20699.6355020176,8.23801172156038,24582.0239397295,7.81282844056011,7.55264628224699,4.32453255139127,2.29090457008406
7,7,7,"Brighton Road, South Croydon.",7.27156175758272,,4.99982206088346,14075.8906394337,4.06363330845444,13063.1726675291,5.99251115408428,17957.695389525,5.09871328122096,5.05019652768155,5.0065457323668,2.07634016816645
8,8,8,"Hook Road, Surbiton",6.92763785944499,,6.06480564341753,16777.9982379151,4.12223469408518,12911.2635261841,6.07473934790009,17479.3590748158,6.04949252752484,8.03077846368561,6.02566749258107,4.02106403039657
9,9,9,"Central Road, Worcester Park.",21.0169443106464,,8.60918837496066,26495.8064474403,7.5331721509701,23270.9862058622,8.61629235171463,26790.723226178,7.77690488319659,9.17529950186198,6.17706033970373,5.07921981776004
10,10,10,"West Wickham, West Wickham.",8.09258743225915,,7.62978142301723,23749.5645934043,7.08267741374576,21474.1255448337,7.56470075873531,23236.8472922439,7.41740894951964,8.20139036599771,6.2643576952924,5.96140055628985
11,11,11,"Brigstock Road, Thornton Heath",4.70340600367599,,3.73069974885433,10897.6357018179,3.44762353015649,10282.2749008671,4.47840507188408,13001.9482066233,5.59430934454894,5.3644992295853,3.42911044864897,2.71925212487363
12,12,12,"Manor Road, Wallington.",6.42843462086715,,6.2845406277627,18487.1866605298,5.09088030622211,15075.1220596221,5.24634138023968,16151.3819012958,7.5052628535944,7.49561080001839,5.89570353715137,4.53897352809404
13,13,13,"High Street, Carshalton.",7.90956230574153,,6.83888026583847,20611.6341617985,6.13074945799366,18729.9101880445,6.21780303595557,18616.8991893613,7.99292975216486,7.32698670168372,4.97882496757425,4.49930381024414
14,14,14,"High Street, Farnborough.",5.81484587481314,,8.54988920102018,25507.8725857283,7.81165931357835,23664.6047755113,7.75636339201109,24009.5340160085,7.74946505655877,8.82559072861527,6.01196352534614,6.4260330509443
15,15,15,"Hook Road, Chessington.",7.11171813209076,,6.33789752708169,19584.6453484994,5.90463579471647,17672.7283427718,6.10134466954831,17794.581405661,5.36696119094548,7.22257425654059,6.45891884111538,4.55855279453909
16,16,16,"Canterbury Road, Thornton Heath",9.4924120961895,,3.37767263098486,9634.61693158275,3.23985085197775,9130.28217222175,4.6876210340663,13772.0154199895,5.4657904770942,6.14302893514624,2.66179476788003,2.14546092028863
19,19,19,Crouch End Hill & Tottenham Lane.,20.6524893435462,,5.14203775893132,15453.5304365254,5.67445126629763,17689.7852431612,6.32896349522376,19363.4466400819,9.11345027846753,6.92078362903488,3.14496330065351,1.96536558190439
20,20,20,"London Road, North Cheam.",16.2622179913762,,8.34821692938515,25919.3134167774,8.47621640356332,26576.1808265581,8.84949095499916,27838.2850079082,6.02646978968132,8.92574222286005,4.96874764914998,5.17791804179393
22,22,22,"Upper Mulgrave Road, Cheam.",4.85102266879414,,8.64034065594987,27078.1173570309,8.20951476104743,25364.7695910017,8.40536218768605,26276.530322274,8.97685585471389,8.74601277117057,7.94444474416829,5.8170675794931
23,23,23,"Oldfields Road, Sutton.",4.80456073062591,,7.6700163529391,23561.6249233801,7.05966255038135,21676.7412377669,7.91463480612835,23923.3482380608,6.49449329055385,8.28783967353382,6.6569968183238,4.85866434036126
24,24,24,"Epsom Road + Stonecroft Hill, Morden South.",9.2646527727011,,7.08217449229532,22582.6870705709,7.06182971359261,20197.8499978301,7.08553798626221,21396.9478481262,6.01785694177425,8.05859621518746,6.8672213518312,3.18637001858187
25,25,25,"Staines Road, Hounslow West.",7.45509035028604,,4.1929480101552,12572.3105000212,3.56653150128329,10726.1928184833,5.28623427582135,15254.1701139727,6.40924932562113,5.55812983317414,4.66554289021226,3.85634747847268
26,26,26,"London Road + Thornton Road, Thornton Heath.",13.1706630397476,,3.97368201869109,11243.975577061,3.95059934560826,10623.0740184283,4.06932143674442,12797.6784651718,5.10372205361944,6.85383155893702,2.97613336548833,2.94286966361885
27,27,27,"Red Lion Road, Tolworth.",6.65878816439032,,6.93184970329667,21639.9508024346,5.88181131720848,18423.6088722363,7.41264575326816,22614.1841257603,7.72425983587226,8.00048790982538,5.91211123497493,4.29059716700866
29,29,29,"London Road, Thornton Heath.",7.58878752034838,,4.52707231378213,13271.3676848501,4.35583432586502,12971.098667929,5.5775656425743,16329.7615579812,6.3224163594342,6.91376391905532,2.91144686648588,2.95973268176171
30,30,30,"London Road (Cricket Green), Mitcham",5.87602540898022,,3.06031644283335,7703.82577894855,2.07614393847312,5838.0769707631,3.0836541878059,8090.55320512602,3.11019775078397,4.07244721720417,3.05447967405085,3.01442880776944
31,31,31,"High Street, Hampton Wick.",9.13721138651793,,7.91671009534246,24298.965895112,7.37513161266174,22568.8696161908,8.10579440171369,24491.6911547511,9.28840862986216,9.30911073257423,6.06921128614038,3.73666056367089
33,33,33,"Ewell Road (Ellerton Road), Tolworth",6.8950816284332,,8.33503036804008,25562.6232965963,8.16278172934423,25298.8995103032,7.91092359440763,24522.2180151623,9.39280132360184,8.78624370485651,6.49570015097037,3.85763118288144
34,34,34,"Elmers End Road, Birkbeck.",7.96387965220368,,5.49904435407455,16149.463445165,4.69402186542155,14081.5220091831,5.4738913391401,16083.0798524865,6.20593394969383,6.97545733461098,4.86502590264761,3.43850672495353
37,37,37,"Limpsfield Road, Riddlesdown.",7.46171869741302,,8.93651420397985,27848.9767058117,8.09665949862454,25692.0104059725,8.65452797590456,25723.1705143166,8.79625217942542,8.1401093534394,7.324299229896,7.0921091435271
38,38,38,"Yeading Lane, Hillingdon.",5.1515883233726,,3.36697634686811,9366.38580214444,2.8199463517835,8047.25670913001,3.70843113204839,10984.1245354302,4.27376881218347,6.03136707010665,1.97422575212596,4.78403602904293
39,39,39,"Lower Addiscombe Road, Blackhorse Lane.",10.8168386708431,,6.84028516809389,21348.4793114071,6.8432418181325,21078.9372414196,7.79455854287492,24621.0458526968,6.96874898360178,6.90254823758041,4.99741332024132,3.93906891016135
41,41,41,"Beulah Road, Thornton Heath.",13.2801085256967,,2.88101499388971,7759.88829666117,2.71793717583114,7727.50575805418,3.5128301743373,9444.20003079309,4.90719981889251,4.29179425113588,2.68990687674896,2.00177358270684
43,43,43,"Staines Road, Feltham.",6.47029788143338,,4.27098729870217,12362.2665696591,4.13753197154934,11614.1219282137,4.96305884766175,15150.7971414051,4.17375547703214,5.79018814868547,4.83905280543044,3.62118172696597
44,44,44,"Richmond Road, Richmond.",6.52272575950998,,9.0942788108248,28281.8680785886,9.05848605469174,28334.9129099116,9.39874491489443,29445.0396416998,9.78022722559075,9.71761434944076,6.33134431299505,3.08382814840693
45,45,45,"High Street, Hampton Hill.",17.0448496132356,,8.2043325388919,26121.531653007,6.67954805659163,21047.1405752722,8.45881342058153,25471.8161068617,9.82825458498018,9.11235531296939,7.38498844674993,3.66339053253241
46,46,46,"Durnsford Road, Wimbledon Park.",6.9497374256094,,8.18270209444901,25330.1695571909,7.73634961545859,23947.4491483399,8.35903751957906,26070.9291081724,9.53580162930355,8.22457613258344,6.61799117626699,3.30825507332444
49,49,49,"Haydon’s Road, Haydons Road.",7.56962181385045,,6.16698559377497,18461.1078862766,4.32041312914341,11797.935784111,5.35532273264602,17245.542318953,8.11700782402467,5.28453645013259,5.99718740912321,5.67332624006439
52,52,52,"Ewell Road, Oak Hill",6.08418976957606,,6.15817935741902,18982.2914756137,5.82666731860043,17523.4401476616,6.58088712744948,20362.2026391995,7.48844951738327,6.69595694280612,6.50035894516952,3.95316429619605
